Essay;Biomass;Repeats;m1;m2;m3
0;0;0;26.1933;27.198;27.1634
0;0;1;24.1792;25.1831;25.1464
0;0;2;26.2174;27.221;27.1857
1;0;0;21.6974;22.7005;22.6662
1;0;1;25.3152;26.3156;26.2806
1;0;2;24.9705;25.9763;25.9396
2;0;0;22.8739;23.8745;23.841
2;0;1;22.6088;23.61;23.5744
2;0;2;23.6429;24.6453;24.6086
3;0;0;23.7526;24.7559;24.7202
3;0;1;22.2255;23.226;23.1885
3;0;2;22.8105;23.8109;23.7742
4;0;0;20.4287;21.4302;21.3926
4;0;1;23.9911;24.994;24.956
4;0;2;24.5303;25.5341;25.4987
5;0;0;23.4794;24.4806;24.4299
5;0;1;24.2211;25.2258;25.1891
5;0;2;22.0131;23.0185;22.9809
6;0;0;24.2105;25.2148;25.1788
6;0;1;21.8107;22.8125;22.7781
6;0;2;22.9675;23.9734;23.9364
