Biomass;Biomass;Repeats;m1;m2;m3
0;0;0;21.1382;22.1437;21.3167
0;0;1;22.6988;23.7013;22.8837
0;0;2;61.2788;62.2874;61.4612
1;0;0;21.1149;22.1235;21.3085
1;0;1;23.3581;24.3595;23.5383
1;0;2;22.119;23.1217;22.2972
2;0;0;21.1143;22.1197;21.3012
2;0;1;22.5487;23.5511;22.7243
2;0;2;61.2532;62.2106;61.4217
3;0;0;21.1082;22.1116;21.2868
3;0;1;23.3268;24.3304;23.5183
3;0;2;22.1008;23.106;22.29978
4;0;0;21.1245;22.0026;21.3009
4;0;1;22.6328;23.634;22.8239
4;0;2;61.2498;62.2516;61.4496
5;0;0;21.1165;22.1228;21.3065
5;0;1;23.3486;24.3568;23.5372
5;0;2;22.1268;23.1275;22.3168
6;0;0;21.1154;22.1204;21.3104
6;0;1;23.3289;24.3354;23.5376
6;0;2;22.1157;23.1185;22.3093
